Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Parsons Richard Henry,1893,1912,18,18,Male,Single,Crew,Victualling,,,,Southampton,
Pascoe Charles Henry,1867,1937,45,69,Male,Single,Crew,Deck,,,,Southampton,New York City
Patton Matthew,1886,1948,26,63,Male,Single,Crew,Engine,,,,Belfast,Southampton
Pearce Alfred Ernest,1887,1912,24,24,Male,Single,Crew,Victualling,,,,Southampton,
Pearce John,1878,1933,33,54,Male,Single,Crew,Engine,,,,Southampton,New York City
Pearcey Albert Victor,1887,1952,25,65,Male,,Crew,Victualling,,,,Southampton,New York City
Pedrini Alessandro,1890,1912,21,21,Male,Single,Crew,A la Carte,,,,Southampton,
Pelham George,1873,1939,39,66,Male,Married,Crew,Engine,,,,Southampton,New York City
Pennal Thomas Frederick Cohen,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
Penny William Farr,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
Penrose John Poole,1863,1912,49,49,Male,Married,Crew,Victualling,,,,Belfast,
Peracchio Alberto,1892,1912,20,20,Male,Single,Crew,A la Carte,,,,Southampton,
Peracchio Sebastiano,1894,1912,17,17,Male,Single,Crew,A la Carte,,,,Southampton,
Perkins Laurence Alexander,1890,1912,22,22,Male,Single,Crew,Victualling,,,,Southampton,
Perkis Walter John,1874,1954,37,79,Male,Married,Crew,Deck,,,,Belfast,New York City
Perotti Alfonso,1891,1912,20,20,Male,Single,Crew,A la Carte,,,,Southampton,
Perren William Charles,1864,1912,47,47,Male,Married,Crew,Victualling,,,,Southampton,
Perriton Hubert Prouse,1880,1912,32,32,Male,Single,Crew,Victualling,,,,Southampton,
Perry Edgar Lionel,1892,1940,19,48,Male,Single,Crew,Engine,,,,Southampton,New York City
Perry Henry Frederick,1889,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
Peters William Chapman,1886,1950,26,64,Male,,Crew,Deck,,,,Southampton,New York City
Petty Edwin Henry,1887,1912,25,25,Male,Single,Crew,Victualling,,,,Southampton,
Pfropper Richard Paul Jozef,1882,1964,30,81,Male,Single,Crew,Victualling,,,,Southampton,New York City
Phillimore Harold Charles William,1888,1967,23,78,Male,Single,Crew,Victualling,,,,Belfast,New York City
Phillips George,1885,1912,27,27,Male,,Crew,Engine,,,,Southampton,
Phillips James,1885,,27,,Male,,Crew,Engine,,,,Belfast,Southampton
Phillips John George,1887,1912,25,25,Male,Single,Crew,Victualling,,,,Belfast,
Phillips Walter John,1875,1912,37,37,Male,Married,Crew,A la Carte,,,,Southampton,
Phillips William,1886,,26,,Male,,Crew,Engine,,,,Belfast,Southampton
Piatti Louis,1895,1912,17,17,Male,Single,Crew,A la Carte,,,,Southampton,
Piazza Pompeo Gaspro,1879,1912,33,33,Male,Married,Crew,A la Carte,,,,Southampton,
Pidgeon William,1865,1922,46,57,Male,Married,Crew,Engine,,,,Belfast,Southampton
Pierce Robert,1872,,40,,Male,,Crew,Engine,,,,Belfast,Southampton
Pitfield William James,1886,1912,25,25,Male,Married,Crew,Engine,,,,Southampton,
Platt Wilfred George,1894,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Podesta Alfred John Alexander,1887,1968,24,80,Male,Engaged,Crew,Engine,,,,Southampton,New York City
Poggi Emilio,1883,1912,28,28,Male,Single,Crew,A la Carte,,,,Southampton,
Poingdestre John Thomas,1884,,27,,Male,Married,Crew,Deck,,,,Southampton,New York City
Pond George,1879,1912,32,32,Male,Single,Crew,Engine,,,,Southampton,
Pook Percy Robert,1876,1912,36,36,Male,Single,Crew,Victualling,,,,Southampton,
Port Frank,1889,1943,22,54,Male,Single,Crew,Victualling,,,,Southampton,New York City
Porteus Thomas Henry,1878,1912,33,33,Male,Single,Crew,Victualling,,,,Southampton,
Prangnell George Alexander,1881,1953,30,71,Male,Married,Crew,Engine,,,,Southampton,New York City
Prentice Frank Winnold,1889,1982,23,93,Male,Single,Crew,Victualling,,,,Southampton,New York City
Preston Thomas Charles Alfred,1891,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
Price Ernest Cyril,1895,1912,17,17,Male,Single,Crew,A la Carte,,,,Southampton,
Prichard Alice Maud,1875,1948,36,73,Female,Married,Crew,Victualling,,,,Southampton,New York City
Prideaux John Arthur (Jack),1888,1912,23,23,Male,Single,Crew,Victualling,,,,Southampton,
Priest Arthur John,1887,1937,24,49,Male,Single,Crew,Engine,,,,Southampton,New York City
Prior Harold John Arnold,1891,1949,20,57,Male,Single,Crew,Victualling,,,,Southampton,New York City
Proctor Charles,1866,1912,45,45,Male,Married,Crew,Victualling,,,,Belfast,
Proudfoot Richard Royston,1890,1912,21,21,Male,Single,Crew,Engine,,,,Southampton,
Pryce Charles William,1889,1912,22,22,Male,Married,Crew,Victualling,,,,Southampton,
Pugh Alfred,1891,1962,20,71,Male,Single,Crew,Victualling,,,,Southampton,New York City
Pugh Arthur Percy,1881,1912,31,31,Male,Single,Crew,Engine,,,,Southampton,
Pusey William Robert Holland,1890,1918,22,28,Male,Married,Crew,Engine,,,,Southampton,New York City
Puzey John Edward,1868,1912,44,44,Male,Married,Crew,Victualling,,,,Belfast,
Quinn John,1876,,36,,Male,,Crew,Engine,,,,Belfast,Southampton
Randall Frank Henry,1883,1912,29,29,Male,Married,Crew,Victualling,,,,Southampton,
Ranger Thomas,1882,1964,29,81,Male,Married,Crew,Engine,,,,Southampton,New York City
Ransom James,1862,1912,49,49,Male,Married,Crew,Victualling,,,,Belfast,
Rattenbury William Henry,1874,1912,38,38,Male,Married,Crew,Victualling,,,,Belfast,
Ratti Enrico,1890,1912,21,21,Male,Single,Crew,A la Carte,,,,Southampton,
Ray Frederick Dent,1879,1977,32,97,Male,Married,Crew,Victualling,,,,Belfast,New York City
Read Joseph,1891,1912,20,20,Male,,Crew,Engine,,,,Southampton,
Reed Thomas Charles Prowse,1857,1912,54,54,Male,Married,Crew,Victualling,,,,Southampton,
Reeves Frederick Simms,1878,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
Reeves Frederick Vernon Hilton,1891,1912,20,20,Male,Single,Crew,Victualling,,,,Belfast,
Reid James,1876,,36,,Male,,Crew,Engine,,,,Belfast,Southampton
Reid Robert Thomas,1881,1912,31,31,Male,Single,Crew,Engine,,,,Southampton,
Rentowl Philip Charles Thomas,1886,1912,26,26,Male,Single,Crew,Engine,,,,Southampton,
Revell William James Francis,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Belfast,
Ricaldone Rinaldo Renato,1889,1912,22,22,Male,Single,Crew,A la Carte,,,,Southampton,
Rice Charles John,1880,1949,32,68,Male,,Crew,Engine,,,,Southampton,New York City
Rice John Reginald,1886,1912,25,25,Male,Engaged,Crew,Victualling,,,,Southampton,
Rice Percy,1893,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Richards Joseph James,1882,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Rickman George Albert,1876,1912,36,36,Male,Married,Crew,Engine,,,,Southampton,
Ricks Cyril Gordon,1890,1912,22,22,Male,Single,Crew,Victualling,,,,Southampton,
Ridout Walter George,1882,1912,29,29,Male,Single,Crew,Victualling,,,,Southampton,
Rigozzi Abele,1890,1912,22,22,Male,Single,Crew,A la Carte,,,,Southampton,
Rimmer Gilbert,1883,1912,29,29,Male,Married,Crew,Victualling,,,,Southampton,
Roberton George Edward,1892,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Roberts Frank John,1875,1912,36,36,Male,Married,Crew,Victualling,,,,Belfast,
Roberts Hugh H.,1871,1912,40,40,Male,Married,Crew,Victualling,,,,Belfast,
Roberts Mary Kezia,1870,1932,41,61,Female,Married,Crew,Victualling,,,,Southampton,New York City
Roberts Robert George,1877,1912,35,35,Male,Married,Crew,Engine,,,,Southampton,
Robinson Annie,1865,1914,47,49,Female,Married,Crew,Victualling,,,,Southampton,New York City
Robinson James William,1881,1912,30,30,Male,Married,Crew,Victualling,,,,Southampton,
Robinson Samuel,1869,,43,,Male,,Crew,Deck,,,,Belfast,Southampton
Robinson Thomas,1882,,30,,Male,,Crew,Engine,,,,Belfast,Southampton
Rogan Patrick,1869,,43,,Male,,Crew,Engine,,,,Belfast,Southampton
Rogers Edward James William,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
Rogers Michael Joseph,1885,1912,26,26,Male,Engaged,Crew,Victualling,,,,Southampton,
Ross Horace Leopold,1874,1940,38,66,Male,Married,Crew,Victualling,,,,Southampton,New York City
Rotta Angelo Mario,1888,1912,23,23,Male,Single,Crew,A la Carte,,,,Southampton,
Rous Arthur John,1886,1912,26,26,Male,Single,Crew,Engine,,,,Belfast,
Rousseau Pierre,1863,1912,48,48,Male,Married,Crew,A la Carte,,,,Southampton,
Rowe Edgar Maurice,1880,1912,31,31,Male,Single,Crew,Victualling,,,,Belfast,
Rowe George Thomas,1881,1974,31,92,Male,Single,Crew,Deck,,,,Belfast,New York City
Rudd Henry,1888,1912,24,24,Male,Single,Crew,Engine,,,,Southampton,
Rule Samuel James,1854,1915,58,61,Male,Married,Crew,Victualling,,,,Belfast,New York City
Russell Boysie Richard,1894,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Rutter Sidney Frank,1885,1912,26,26,Male,Married,Crew,Engine,,,,Southampton,
Ryan Thomas,1884,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
Ryerson William Edwy,1878,1949,33,71,Male,Married,Crew,Victualling,,,,Southampton,New York City
Saccaggi Giovanni Giuseppe Emilio,1887,1912,24,24,Male,Married,Crew,A la Carte,,,,Southampton,
